Name,TARGET,Log10(cmc*1000+1),MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings
"2,4-dihydroxybenzophenone 6,1EO",0.37,2.56937391,478.2202827,1.7262,112.91,9,2,20,2,0.48,2
Alcohol C12-C14 31EO,0.51,2.7084209,1565.026673,4.8043,306.36,32,1,104,0,1,0
Alcohol C12-C14 51EO,0.92,2.96425963,2445.550968,5.1363,490.96,52,1,164,0,1,0
Alkest SBO 450,0.15,2.178976947,1821.157746,5.8998,360.35,37,1,118,0,0.943181818,0
Alkest SBO 550,0.18,2.257678575,2701.682041,6.2318,544.95,57,1,178,0,0.9609375,0
Alkest SP 020,0.04,1.612783857,344.2562743,2.5956,86.99,5,3,14,0,0.947368421,1
Alkest TW 020,0.07,1.851258349,1226.759834,2.264,280.82,26,3,73,0,0.982758621,1
Alkest TW 060,0.08,1.908485019,1296.838084,4.2145,280.82,26,3,78,0,0.984126984,1
Alkest TW 080,0.12,2.08278537,1308.838084,4.3806,280.82,26,3,78,0,0.953125,1
Alkest TW 327,0.67,2.82672252,4308.594866,3.426,926.92,96,3,283,0,0.994949495,1
Alkest TW 85,0.15,2.178976947,1837.328715,17.5574,292.96,28,1,110,0,0.91,1
Alkomol L 306,0,0,666.5281986,6.38,103.3,10,1,37,0,1,0
Alkomol L 408,0.02,1.322219295,826.6381429,7.2068,130.99,13,1,46,0,1,0
Alkomol L 504,0.02,1.322219295,638.4968984,5.603,103.3,10,1,37,0,1,0
Alkomol L 603,0.02,1.322219295,624.4812484,5.2145,103.3,10,1,37,0,1,0
Alkonat C 200,0.01,1.041392685,1122.785261,5.792,204.83,21,1,74,0,1,0
Alkonat CE 200,0.01,1.041392685,1136.800911,6.1821,204.83,21,1,75,0,1,0
Alkonat CE 250 F,0.02,1.322219295,1356.931984,6.2651,250.98,26,1,90,0,1,0
Alkonat CE 500,0.04,1.612783857,2457.587353,6.6801,481.73,51,1,165,0,1,0
Alkonat E 200 F,0.02,1.322219295,1150.816561,6.5722,204.83,21,1,76,0,1,0
Alkonat L 040,0.01,1.041392685,362.3032244,3.966,57.15,5,1,22,0,1,0
Alkonat L 050,0.02,1.322219295,406.3294392,3.9826,66.38,6,1,25,0,1,0
Alkonat L 060,0.03,1.491361694,450.3556539,3.9992,75.61,7,1,28,0,1,0
Alkonat L 070,0.04,1.612783857,538.4080834,4.0324,94.07,9,1,34,0,1,0
Alkonat L 080,0.04,1.612783857,582.4342982,4.049,103.3,10,1,37,0,1,0
Alkonat L 090,0.04,1.612783857,626.4605129,4.0656,112.53,11,1,40,0,1,0
Alkonat L 100,0.04,1.612783857,670.4867277,4.0822,121.76,12,1,43,0,1,0
Alkonat L 120,0.06,1.785329835,758.5391572,4.1154,140.22,14,1,49,0,1,0
Alkonat L 230,0.38,2.580924976,1242.827519,4.298,241.75,25,1,82,0,1,0
Alkonat L 400,0.57,2.756636108,1991.27317,4.5802,398.66,42,1,133,0,1,0
Alkonat OA 20,0.01,1.041392685,1368.931984,6.4312,250.98,26,1,90,0,0.970588235,0
Alkopon CN,0.93,2.968949681,477.2134231,0.8399,123.58,9,1,21,0,0.8,0
Alkopon N ,1.57,3.196176185,372.1582539,1.3637,84.89,6,0,16,0,0.75,0
Alkopon NNP 940,0.31,2.492760389,718.3574072,0.9721,149.5,13,0,37,1,0.818181818,1
Alkopon NNP 940 HS,0.37,2.56937391,718.3574072,0.9721,149.5,13,0,37,1,0.818181818,1
Alkopon NS,1.87,3.272073788,372.1582539,1.3637,84.89,6,0,16,0,0.75,0
Alkosynt 130,0.04,1.612783857,258.2194948,2.7445,49.69,3,2,13,0,1,1
Alkosynt 2590,0.05,1.707570176,538.4080834,4.0324,94.07,9,1,34,0,1,0
Alkosynt 9160,0.25,2.399673721,378.2981391,3.2024,66.38,6,1,23,0,1,0
Alkosynt 9180,0.58,2.764176132,466.3505686,3.2356,84.84,8,1,29,0,1,0
Alkosynt ID 030,0.46,2.663700925,290.2457096,3.0235,47.92,4,1,15,0,1,0
Alkosynt ID 060,0.8,2.903632516,422.3243538,3.0733,75.61,7,1,24,0,1,0
Alkosynt IT 0070,0.06,1.785329835,524.3924334,4.1918,94.07,9,1,31,0,1,0
Alkosynt IT 0090,0.09,1.959041392,612.4448629,4.225,112.53,11,1,37,0,1,0
Alkosynt IT 0100,0.1,2.004321374,656.4710776,4.2416,121.76,12,1,40,0,1,0
Alkosynt IT 0150,0.22,2.344392274,876.6021514,4.3246,167.91,17,1,55,0,1,0
Alkosynt IT 050,0.03,1.491361694,420.3450893,4.227,66.38,6,1,24,0,1,0
Alkosynt IT 060,0.05,1.707570176,480.3662186,4.1752,84.84,8,1,28,0,1,0
Alkosynt IT 080,0.07,1.851258349,568.4186481,4.2084,103.3,10,1,34,0,1,0
Alkosynt IT 120,0.16,2.206825876,744.5235071,4.2748,140.22,14,1,46,0,1,0
Alkosynt S 150,0.17,2.23299611,1122.785261,5.792,204.83,21,1,74,0,1,0
Alkosynt S 200,0.29,2.463892989,1342.916334,5.875,250.98,26,1,89,0,1,0
Coco Amidoamine 3 EO,0.13,2.117271296,388.3301079,2.7168,82.03,5,3,21,0,0.952380952,0
