Dim1,Dim2,Index
8.560457,-10.124649,0
1.6589706,3.865307,1
3.960446,4.6963983,2
2.8600864,4.327852,3
4.5089645,4.886484,4
-5.8029885,3.208576,5
-1.4697536,4.110057,6
-1.603932,4.201252,7
-1.2520928,3.9747064,8
6.194582,5.468707,9
2.7952487,4.3204665,10
-7.0282526,4.252372,11
-6.855732,1.0666285,12
-6.8744926,0.35944355,13
-6.833111,0.20379627,14
-3.625155,5.404028,15
-3.6155841,5.428917,16
-3.2943602,5.2648787,17
4.5774984,4.917399,18
-3.6431856,5.2768564,19
-6.675073,3.3914542,20
-6.8446608,1.1801214,21
-6.8353934,0.6371362,22
-5.494667,-0.5192852,23
-5.7946978,-0.59601986,24
-5.9499054,-0.5922173,25
-5.792198,-0.8081553,26
-2.729317,-0.0029635027,27
0.5389358,3.1210084,28
3.0779483,4.3893366,29
-3.5795953,5.4074807,30
2.0084944,-6.7804523,31
2.1691167,-6.891536,32
2.5106857,-7.1113877,33
2.3230572,-6.981834,34
1.901966,-6.7105513,35
-6.0223174,2.6852443,36
-4.6107144,-0.8085457,37
-0.5501529,-4.2968245,38
-0.34360105,-4.595179,39
-0.35507885,-4.5801296,40
-0.25506803,-4.699487,41
-3.8256698,-0.95442384,42
-2.8217936,-0.6420152,43
-2.6458793,-0.53182304,44
-0.8372841,1.878404,45
-6.819098,1.0698243,46
-4.405508,-0.80057365,47
-3.487474,-0.8559108,48
-1.5097171,0.8249685,49
-0.44712746,2.74492,50
0.43678278,3.548867,51
-5.6992793,2.6091247,52
-6.9287663,4.1922207,53
-2.282041,-0.119783565,54
-1.0813247,1.6064093,55
-3.239553,-0.7442455,56
8.28798,-10.017613,57
8.336126,-10.03713,58
-0.35599828,-4.5538297,59
-6.478624,3.7179294,60
-2.137633,-0.9239579,61
-1.0357038,-3.5373979,62
8.365423,-10.047152,63
-1.5978981,-2.621103,64
3.9470859,4.6965623,65
1.6901398,-6.5401754,66
1.3154049,-6.263979,67
-6.7062154,0.33875895,68
-6.485159,-0.14992645,69
3.3892105,4.508225,70
6.1421776,5.450775,71
6.0577607,5.4200234,72
4.2461553,4.8127537,73
6.353349,5.523648,74
0.7334627,-5.703325,75
-6.928648,0.5188365,76
-4.5248966,3.8329513,77
-1.572742,1.4873364,78
-5.4969172,3.9639502,79
-6.0035458,3.7060704,80
-6.293648,3.8111916,81
-5.9120264,3.9523807,82
-4.727363,4.180431,83
-1.557926,3.7745192,84
7.7746677,-9.814718,85
5.9818783,-9.086034,86
5.40073,-8.820663,87
5.415676,-8.8275585,88
5.276988,-8.767132,89
5.1322846,-8.668833,90
5.014064,-8.607109,91
3.3358006,-7.602023,92
2.8319705,-7.248861,93
1.4976416,3.7591534,94
1.987336,3.9969556,95
1.7803833,3.9610734,96
3.2598503,4.4486046,97
6.2389174,5.482198,98
1.9365327,4.001534,99
5.5554457,-8.897662,100
8.357145,-10.045365,101
-0.17134222,-4.777822,102
6.285424,5.500124,103
