Dim1,Dim2,ID,Label
-11.636599,9.28628,1,0
1.7546118,4.1862435,2,1
8.433394,4.3088355,3,2
7.60439,4.2693744,4,2
9.1856165,4.318607,5,2
2.363291,-11.843083,6,3
2.310719,-11.132482,7,3
2.1919534,-10.71436,8,3
2.2353253,-10.795187,9,3
10.315734,4.3467064,10,2
8.395669,4.2889495,11,2
-4.943072,-3.5256217,12,1
-5.72659,-3.372714,13,1
-5.058217,-2.7250576,14,1
-4.9752283,-2.1258068,15,1
-7.3268127,-4.4364166,16,1
-7.224075,-4.372424,17,1
-7.459655,-4.5313315,18,1
8.290265,4.290239,19,2
-7.522694,-4.5555925,20,1
-4.7314844,-2.808195,21,1
-4.6200147,-2.5048957,22,1
-4.213785,-2.1234243,23,1
-3.472015,-0.2271189,24,1
-3.6803262,-0.34777904,25,1
-3.7921565,-0.47874227,26,1
-3.0589473,0.2797738,27,1
-1.4434863,1.8661089,28,1
1.3284419,3.947925,29,1
8.262964,4.2957754,30,2
-7.4071426,-4.505387,31,1
-13.213042,8.8768835,32,0
-13.442726,8.818139,33,0
-12.941228,8.947175,34,0
-12.9428625,8.948121,35,0
-13.190064,8.880001,36,0
2.23288,-13.3210945,37,3
-3.1405468,0.21030042,38,1
2.5916333,-14.220148,39,3
2.7463028,-14.230218,40,3
2.6417696,-14.177195,41,3
2.8201318,-14.232519,42,3
-2.9570386,0.41802743,43,1
-2.3989508,1.0586716,44,1
-1.713567,1.6571485,45,1
-0.49844804,2.6687398,46,1
-4.688386,-2.6138682,47,1
-2.7372599,0.28288814,48,1
-2.5717883,0.81465805,49,1
-1.1778662,2.1121893,50,1
0.37581605,3.3022723,51,1
1.4331942,4.0019894,52,1
2.2138474,-11.531892,53,3
1.8786196,-13.188778,54,3
-1.7188228,1.6354281,55,1
-0.7976707,2.411407,56,1
-3.0868893,0.5403875,57,1
-12.043665,9.181206,58,0
-12.028266,9.182836,59,0
2.765078,-12.385919,60,3
1.1345402,-9.2861,61,3
-13.146271,8.894246,62,0
2.6522622,-12.356918,63,3
-11.949054,9.20761,64,0
2.6534994,-12.349428,65,3
9.037815,4.3218403,66,2
3.004552,-12.662352,67,3
2.9683802,-12.550179,68,3
-4.6400814,-2.2768145,69,1
-4.0932517,-0.9620972,70,1
8.784978,4.3082986,71,2
10.322215,4.3463836,72,2
10.35035,4.3500967,73,2
9.20626,4.3063707,74,2
10.311753,4.3426156,75,2
2.9868946,-13.438186,76,3
-4.334628,-1.5676416,77,1
1.4341456,-9.3529,78,3
2.000954,-10.483061,79,3
1.383635,-9.184264,80,3
1.130763,-8.978353,81,3
1.1978858,-9.055408,82,3
1.3046182,-9.1664,83,3
1.6480471,-9.663507,84,3
1.9847758,-10.290476,85,3
-10.945609,9.441019,86,0
-0.9081948,11.986346,87,4
-0.89813507,11.969026,88,4
-0.90560967,12.003619,89,4
-0.898695,11.977381,90,4
-0.88961416,11.952338,91,4
-0.8838888,11.920908,92,4
-0.8682177,11.857107,93,4
1.0033325,3.8047314,94,1
1.6928866,4.229678,95,1
1.8111767,4.2515383,96,1
1.8421367,4.2588735,97,1
8.120384,4.292828,98,2
10.318639,4.3476577,99,2
1.9919852,4.3807015,100,1
-0.90772223,12.000898,101,4
-11.470573,9.324778,102,0
2.753787,-14.233603,103,3
10.363967,4.34767,104,2
