Index,Name,cmc,TARGET,MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings,HeavyAtomCount,CarbonCount,AliphaticCarbonCount,NumOH,NumCarbonyls,NumCarboxyls,NumEthers,NumSulfurs,NumAmines,LabuteASA,NumChargedAtoms,MolMR,LongestAliphaticChain,PolarRatio,Chi0v,Chi1v
1,"2,4-dihydroxybenzophenone 6,1EO",0.37,2.56937391,478.2202827,1.7262,112.91,9,2,20,2,0.48,2,34,25,13,2,1,0,6,0,0,199.6640058,0,124.7541,2,3.320882353,19.35624875,11.28029679
2,Alcohol C12-C14 31EO,0.51,2.7084209,1565.026673,4.8043,306.36,32,1,104,0,1,0,107,75,75,1,0,0,31,0,0,643.0591034,0,398.9358,13,2.86317757,66.42881241,39.92119289
3,Alcohol C12-C14 51EO,0.92,2.96425963,2445.550968,5.1363,490.96,52,1,164,0,1,0,167,115,115,1,0,0,51,0,0,999.9276925,0,615.3158,13,2.93988024,102.8780495,61.46819828
4,Alkest SBO 450,0.15,2.178976947,1821.157746,5.8998,360.35,37,1,118,0,0.943181818,0,125,88,88,1,1,0,35,0,0,749.0398478,0,465.2488,18,2.8828,76.93630919,46.00338034
5,Alkest SBO 550,0.18,2.257678575,2701.682041,6.2318,544.95,57,1,178,0,0.9609375,0,185,128,128,1,1,0,55,0,0,1105.908437,0,681.6288,18,2.945675676,113.3855462,67.55038573
6,Alkest SP 020,0.04,1.612783857,344.2562743,2.5956,86.99,5,3,14,0,0.947368421,1,24,19,19,3,1,0,1,0,0,145.9601465,0,93.7974,18,3.624583333,15.1599266,9.700085519
7,Alkest TW 020,0.07,1.851258349,1226.759834,2.264,280.82,26,3,73,0,0.982758621,1,84,58,58,3,1,0,22,0,0,501.5773388,0,306.9434,12,3.343095238,51.31030517,30.93522763
8,Alkest TW 060,0.08,1.908485019,1296.838084,4.2145,280.82,26,3,78,0,0.984126984,1,89,63,63,3,1,0,22,0,0,533.4020494,0,330.0284,17,3.155280899,54.84583907,33.43522763
9,Alkest TW 080,0.12,2.08278537,1308.838084,4.3806,280.82,26,3,78,0,0.953125,1,90,64,64,3,1,0,22,0,0,539.0773885,0,334.5514,18,3.120222222,55.29343283,33.58505755
10,Alkest TW 327,0.67,2.82672252,4308.594866,3.426,926.92,96,3,283,0,0.994949495,1,294,198,198,3,1,0,92,0,0,1750.617401,0,1064.2734,12,3.152789116,178.8826349,106.3497465
11,Alkest TW 85,0.15,2.178976947,1837.328715,17.5574,292.96,28,1,110,0,0.91,1,128,100,100,1,3,0,24,0,0,775.7977657,0,501.2018,18,2.28875,81.14038975,50.76742904
12,Alkomol L 306,0,0,666.5281986,6.38,103.3,10,1,37,0,1,0,46,36,36,1,0,0,9,0,0,282.3283658,0,183.8708,12,2.245652174,30.84900579,18.31018508
13,Alkomol L 408,0.02,1.322219295,826.6381429,7.2068,130.99,13,1,46,0,1,0,57,44,44,1,0,0,12,0,0,348.5885385,0,225.5178,12,2.298070175,38.05687833,22.40748726
14,Alkomol L 504,0.02,1.322219295,638.4968984,5.603,103.3,10,1,37,0,1,0,44,34,34,1,0,0,9,0,0,269.5984816,0,174.6808,12,2.347727273,29.10851882,17.44493371
15,Alkomol L 603,0.02,1.322219295,624.4812484,5.2145,103.3,10,1,37,0,1,0,43,33,33,1,0,0,9,0,0,263.2335395,0,170.0858,12,2.402325581,28.23827533,17.01230802
16,Alkonat C 200,0.01,1.041392685,1122.785261,5.792,204.83,21,1,74,0,1,0,77,56,56,1,0,0,20,0,0,465.8762057,0,293.7778,16,2.66012987,48.50305237,29.57033993
17,Alkonat CE 200,0.01,1.041392685,1136.800911,6.1821,204.83,21,1,75,0,1,0,78,57,57,1,0,0,20,0,0,472.2411478,0,298.3948,17,2.626025641,49.21015915,30.07033993
18,Alkonat CE 250 F,0.02,1.322219295,1356.931984,6.2651,250.98,26,1,90,0,1,0,93,67,67,1,0,0,25,0,0,561.4582951,0,352.4898,17,2.698709677,58.32246842,35.45709128
19,Alkonat CE 500,0.04,1.612783857,2457.587353,6.6801,481.73,51,1,165,0,1,0,168,117,117,1,0,0,50,0,0,1007.544032,0,622.9648,17,2.867440476,103.8840147,62.39084801
20,Alkonat E 200 F,0.02,1.322219295,1150.816561,6.5722,204.83,21,1,76,0,1,0,79,58,58,1,0,0,20,0,0,478.6060899,0,303.0118,18,2.59278481,49.91726593,30.57033993
21,Alkonat L 040,0.01,1.041392685,362.3032244,3.966,57.15,5,1,22,0,1,0,25,20,20,1,0,0,4,0,0,154.9215659,0,102.2058,12,2.286,16.5152356,10.33273562
22,Alkonat L 050,0.02,1.322219295,406.3294392,3.9826,66.38,6,1,25,0,1,0,28,22,22,1,0,0,5,0,0,172.7649953,0,113.0248,12,2.370714286,18.33769745,11.41008589
23,Alkonat L 060,0.03,1.491361694,450.3556539,3.9992,75.61,7,1,28,0,1,0,31,24,24,1,0,0,6,0,0,190.6084248,0,123.8438,12,2.439032258,20.16015931,12.48743616
24,Alkonat L 070,0.04,1.612783857,538.4080834,4.0324,94.07,9,1,34,0,1,0,37,28,28,1,0,0,8,0,0,226.2952837,0,145.4818,12,2.542432432,23.80508301,14.6421367
25,Alkonat L 080,0.04,1.612783857,582.4342982,4.049,103.3,10,1,37,0,1,0,40,30,30,1,0,0,9,0,0,244.1387132,0,156.3008,12,2.5825,25.62754486,15.71948697
26,Alkonat L 090,0.04,1.612783857,626.4605129,4.0656,112.53,11,1,40,0,1,0,43,32,32,1,0,0,10,0,0,261.9821426,0,167.1198,12,2.616976744,27.45000672,16.79683724
27,Alkonat L 100,0.04,1.612783857,670.4867277,4.0822,121.76,12,1,43,0,1,0,46,34,34,1,0,0,11,0,0,279.8255721,0,177.9388,12,2.646956522,29.27246857,17.87418751
28,Alkonat L 120,0.06,1.785329835,758.5391572,4.1154,140.22,14,1,49,0,1,0,52,38,38,1,0,0,13,0,0,315.512431,0,199.5768,12,2.696538462,32.91739228,20.02888805
29,Alkonat L 230,0.38,2.580924976,1242.827519,4.298,241.75,25,1,82,0,1,0,85,60,60,1,0,0,24,0,0,511.790155,0,318.5858,12,2.844117647,52.96447266,31.87974101
30,Alkonat L 400,0.57,2.756636108,1991.27317,4.5802,398.66,42,1,133,0,1,0,136,94,94,1,0,0,41,0,0,815.1284558,0,502.5088,12,2.931323529,83.94632415,50.19469558
31,Alkonat OA 20,0.01,1.041392685,1368.931984,6.4312,250.98,26,1,90,0,0.970588235,0,94,68,68,1,0,0,25,0,0,567.1336342,0,357.0128,18,2.67,58.77006217,35.60692119
32,Alkopon CN,0.93,2.968949681,477.2134231,0.8399,123.58,9,1,21,0,0.8,0,31,20,20,1,0,0,3,0,0,205.7617265,2,111.8,12,3.986451613,21.85394759,13.01225567
33,Alkopon N ,1.57,3.196176185,372.1582539,1.3637,84.89,6,0,16,0,0.75,0,24,16,16,0,0,0,2,0,0,168.4258519,2,87.9432,12,3.537083333,17.76181028,9.605257624
34,Alkopon NNP 940,0.31,2.492760389,718.3574072,0.9721,149.5,13,0,37,1,0.818181818,1,48,33,27,0,0,0,9,0,0,310.671332,2,175.8352,9,3.114583333,32.22615004,18.28230394
35,Alkopon NNP 940 HS,0.37,2.56937391,718.3574072,0.9721,149.5,13,0,37,1,0.818181818,1,48,33,27,0,0,0,9,0,0,310.671332,2,175.8352,9,3.114583333,32.22615004,18.28230394
36,Alkopon NS,1.87,3.272073788,372.1582539,1.3637,84.89,6,0,16,0,0.75,0,24,16,16,0,0,0,2,0,0,168.4258519,2,87.9432,12,3.537083333,17.76181028,9.605257624
37,Alkosynt 130,0.04,1.612783857,258.2194948,2.7445,49.69,3,2,13,0,1,1,18,15,15,2,0,0,1,0,0,111.5446222,0,73.5236,12,2.760555556,11.64976418,7.676132296
38,Alkosynt 2590,0.05,1.707570176,538.4080834,4.0324,94.07,9,1,34,0,1,0,37,28,28,1,0,0,8,0,0,226.2952837,0,145.4818,12,2.542432432,23.80508301,14.6421367
39,Alkosynt 9160,0.25,2.399673721,378.2981391,3.2024,66.38,6,1,23,0,1,0,26,20,20,1,0,0,5,0,0,160.0351111,0,103.7908,10,2.553076923,16.92348389,10.41008589
40,Alkosynt 9180,0.58,2.764176132,466.3505686,3.2356,84.84,8,1,29,0,1,0,32,24,24,1,0,0,7,0,0,195.72197,0,125.4288,10,2.65125,20.5684076,12.56478643
41,Alkosynt ID 030,0.46,2.663700925,290.2457096,3.0235,47.92,4,1,15,0,1,0,20,16,16,1,0,0,3,0,0,124.3482522,0,82.0608,9,2.396,13.6048336,8.136699445
42,Alkosynt ID 060,0.8,2.903632516,422.3243538,3.0733,75.61,7,1,24,0,1,0,29,22,22,1,0,0,6,0,0,177.8785406,0,114.5178,9,2.607241379,19.07221916,11.36875025
43,Alkosynt IT 0070,0.06,1.785329835,524.3924334,4.1918,94.07,9,1,31,0,1,0,36,27,27,1,0,0,6,0,0,219.8596369,0,140.2728,12,2.613055556,23.42424964,14.11276719
44,Alkosynt IT 0090,0.09,1.959041392,612.4448629,4.225,112.53,11,1,37,0,1,0,42,31,31,1,0,0,8,0,0,255.5464958,0,161.9108,12,2.679285714,27.06917335,16.26746773
45,Alkosynt IT 0100,0.1,2.004321374,656.4710776,4.2416,121.76,12,1,40,0,1,0,45,33,33,1,0,0,9,0,0,273.3899253,0,172.7298,12,2.705777778,28.8916352,17.344818
46,Alkosynt IT 0150,0.22,2.344392274,876.6021514,4.3246,167.91,17,1,55,0,1,0,60,43,43,1,0,0,14,0,0,362.6070726,0,226.8248,12,2.7985,38.00394447,22.73156934
47,Alkosynt IT 050,0.03,1.491361694,420.3450893,4.227,66.38,6,1,24,0,1,0,29,23,23,1,0,0,5,0,0,179.1299374,0,117.5498,12,2.288965517,19.37107765,11.79139998
48,Alkosynt IT 060,0.05,1.707570176,480.3662186,4.1752,84.84,8,1,28,0,1,0,33,25,25,1,0,0,5,0,0,202.0162074,0,129.4538,12,2.570909091,21.60178779,13.03541692
49,Alkosynt IT 080,0.07,1.851258349,568.4186481,4.2084,103.3,10,1,34,0,1,0,39,29,29,1,0,0,7,0,0,237.7030664,0,151.0918,12,2.648717949,25.2467115,15.19011746
50,Alkosynt IT 120,0.16,2.206825876,744.5235071,4.2748,140.22,14,1,46,0,1,0,51,37,37,1,0,0,11,0,0,309.0767842,0,194.3678,12,2.749411765,32.53655891,19.49951853
51,Alkosynt S 150,0.17,2.23299611,1122.785261,5.792,204.83,21,1,74,0,1,0,77,56,56,1,0,0,20,0,0,465.8762057,0,293.7778,16,2.66012987,48.50305237,29.57033993
52,Alkosynt S 200,0.29,2.463892989,1342.916334,5.875,250.98,26,1,89,0,1,0,92,66,66,1,0,0,25,0,0,555.093353,0,347.8728,16,2.728043478,57.61536163,34.95709128
53,Coco Amidoamine 3 EO,0.13,2.117271296,388.3301079,2.7168,82.03,5,3,21,0,0.952380952,0,27,21,21,2,1,0,1,0,2,166.211324,0,110.9013,12,3.038148148,17.59316621,11.02682681
54,Oximulsion 9900,0,0,396.2723182,1.9755,84.84,8,1,21,0,1,0,27,19,19,1,0,0,5,0,0,163.8265548,0,101.7778,4,3.142222222,17.52228381,9.951979885
55,Softanol 120,0.08,1.908485019,714.5129424,4.0972,130.99,13,1,45,0,1,0,49,36,36,1,0,0,12,0,0,297.6690015,0,188.7358,12,2.673265306,31.25806713,18.92216827
56,Softanol 150,0.2,2.303196057,846.5915867,4.147,158.68,16,1,54,0,1,0,58,42,42,1,0,0,15,0,0,351.1992899,0,221.1928,12,2.735862069,36.72545269,22.15421907
57,Softanol 90,0.07,1.851258349,582.4342982,4.0474,103.3,10,1,36,0,1,0,40,30,30,1,0,0,9,0,0,244.1387132,0,156.2788,12,2.5825,25.79068157,15.69011746
58,Surfom 1322 SC,0.03,1.491361694,1297.673675,2.868,282.4,22,5,62,4,0.630769231,4,90,65,41,3,0,0,16,0,1,532.7820256,2,333.7694,2,3.137777778,53.69354529,32.70231128
59,Surfom 1325 SC,0.02,1.322219295,1228.571314,3.1513,217.27,19,1,59,4,0.612903226,4,84,62,38,0,0,0,16,0,0,541.4613979,2,311.5493,2,2.586547619,53.85368979,30.69296781
60,Surfom SC 8155,0.96,2.982723388,502.2906843,3.1919,122.14,8,2,27,0,1,0,33,22,22,0,0,0,6,0,0,199.3359302,0,125.4501,9,3.701212121,21.51443341,13.61117069
61,Surfom SC 8213,0.01,1.041392685,400.3301079,3.6635,63.52,6,1,21,0,0.954545455,1,28,22,22,1,0,0,3,0,2,172.1872299,0,115.2618,12,2.268571429,18.20852128,11.50483564
62,Surfom SC 8216,0.1,2.004321374,540.246566,2.1791,117.54,9,0,28,0,1,0,34,22,22,0,0,0,6,0,0,241.145106,2,128.9853,9,3.457058824,25.59857373,15.40280214
63,Surfom SC 8243,0.26,2.416640507,544.3376345,4.3622,122.14,8,2,30,0,1,0,36,25,25,0,0,0,6,0,0,218.4307566,0,139.3011,12,3.392777778,23.63575376,15.11117069
64,Surfom SC 8384,0.07,1.851258349,1201.585515,7.6786,250.61,20,1,56,4,0.516129032,4,84,62,38,0,0,0,16,0,0,497.3053361,2,321.966,2,2.983452381,49.79618387,29.56651367
65,Surfom SC 8898,0.12,2.08278537,544.3376345,4.3622,122.14,8,2,30,0,1,0,36,25,25,0,0,0,6,0,0,218.4307566,0,139.3011,12,3.392777778,23.63575376,15.11117069
66,Surfonic  POA-62,33.7,4.527642788,2375.633516,11.0742,448.35,45,3,129,0,1,0,163,118,118,3,0,0,42,0,0,982.5890793,0,617.0434,4,2.750613497,106.6910139,60.43968887
67,Surfonic DOS 75 PG,2.02,3.305566314,444.2157688,3.6942,95.97,7,0,17,0,0.9,0,29,20,20,0,2,0,2,0,0,194.4335838,0,112.6938,7,3.309310345,21.59270831,13.15409219
68,Surfonic DOS-70E,1.99,3.29907126,444.2157688,3.6942,95.97,7,0,17,0,0.9,0,29,20,20,0,2,0,2,0,0,194.4335838,0,112.6938,7,3.309310345,21.59270831,13.15409219
