Dim1,Dim2,ID,Label
-13.951863,-10.2130165,1,0
6.6618056,5.859012,2,1
8.071197,3.8676002,3,1
7.347827,4.9751506,4,1
8.344664,3.1846654,5,1
-3.5961397,-10.130444,6,2
8.39242,-1.5171607,7,1
8.39415,-1.5279286,8,1
8.335974,-1.7444125,9,1
8.966667,1.7395363,10,1
7.545953,4.674021,11,1
-2.3906908,-3.3081062,12,3
-2.2757943,-3.3688638,13,3
-2.6540933,-3.143366,14,3
-2.6428454,-3.1418064,15,3
6.660018,11.216131,16,4
6.6738763,11.255432,17,4
6.6589003,11.2201605,18,4
8.03783,3.9292994,19,1
6.661611,11.2532215,20,4
-3.7900167,-2.4091804,21,3
-3.6474178,-2.4986286,22,3
-3.8774772,-2.3421893,23,3
-7.3983374,0.33955812,24,3
-7.628872,0.6451341,25,3
-8.486549,1.8280178,26,3
-9.2494135,2.877174,27,3
-9.665902,3.441174,28,3
6.644914,11.063515,29,4
7.8931684,4.168456,30,1
6.6694617,11.242742,31,4
-15.245947,-10.141519,32,0
-15.235941,-10.144312,33,0
-14.951722,-10.159408,34,0
-14.9579935,-10.161835,35,0
-15.233993,-10.141592,36,0
-3.6270142,-10.064896,37,2
-7.2815504,0.21396627,38,3
-5.273661,-1.3848863,39,3
-5.6615157,-1.063322,40,3
-4.241445,-2.1024928,41,3
-5.400478,-1.2917069,42,3
-6.6007967,-0.23873739,43,3
-8.94229,2.4742162,44,3
-9.259029,2.8950894,45,3
-9.753084,3.5576227,46,3
-3.6640882,-2.4872463,47,3
-6.114029,-0.6866973,48,3
-8.381878,1.7718287,49,3
-9.740226,3.5379252,50,3
6.6655498,11.211839,51,4
6.6661735,11.181172,52,4
7.7774034,-3.9084642,53,1
-3.5765274,-10.820675,54,2
-9.595661,3.3487868,55,3
-9.901803,3.7597058,56,3
-7.6776166,0.70609003,57,3
-14.364082,-10.196953,58,0
-14.017112,-10.215855,59,0
-3.5732749,-10.883093,60,2
7.8567905,-3.7687333,61,1
-15.237185,-10.139374,62,0
-3.5702899,-10.956512,63,2
-13.835084,-10.226203,64,0
-3.573576,-10.951146,65,2
8.11953,3.8246605,66,1
-3.5752416,-10.923283,67,2
-3.5682437,-11.056622,68,2
-3.275024,-2.736826,69,3
-7.500777,0.34758997,70,3
7.6137915,4.7034235,71,1
8.974446,1.5029922,72,1
8.871497,1.9117503,73,1
8.60968,-0.12998655,74,1
9.041485,1.5143096,75,1
-3.5880935,-10.4990425,76,2
-7.4577947,0.4023929,77,3
8.055812,-3.0632503,78,1
8.233568,-2.306958,79,1
7.995876,-3.3161077,80,1
7.919224,-3.5473683,81,1
7.9780235,-3.371742,82,1
8.055836,-3.0861535,83,1
8.142813,-2.744659,84,1
8.198413,-2.4582477,85,1
1.6262673,6.3622704,86,1
2.2626057,6.863152,87,1
2.3854845,6.898021,88,1
2.2422686,6.851854,89,1
2.3054776,6.9277716,90,1
2.5047338,6.962565,91,1
2.5804732,6.9081855,92,1
3.3125694,6.809406,93,1
5.615754,6.541296,94,1
6.1627235,6.2501006,95,1
6.5225115,5.8706827,96,1
6.6142554,5.8225527,97,1
7.6012373,4.618963,98,1
8.958783,1.6793407,99,1
6.4515557,6.015779,100,1
2.3014894,6.9178343,101,1
-13.674422,-10.231879,102,0
-5.3411994,-1.3405002,103,3
8.978321,1.4814284,104,1
