TARGET,MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings,HeavyAtomCount,CarbonCount,AliphaticCarbonCount,NumOH,NumCarbonyls,NumCarboxyls,NumEthers,NumSulfurs,NumAmines,LabuteASA,NumChargedAtoms,MolMR,LongestAliphaticChain,PolarRatio,Chi0v,Chi1v,Index
-0.886056648,294.2194948,3.7881,38.69,3,1,8,1,0.666666667,1,21,18,12,1,0,0,2,0,0,128.8320327,0,86.9398,5,1.842380952,14.10864516,7.664851301,1
-1.013228266,338.2457096,3.8047,47.92,4,1,11,1,0.7,1,24,20,14,1,0,0,3,0,0,146.6754622,0,97.7588,5,1.996666667,15.93110701,8.74220157,2
-0.886056648,382.2719243,3.8213,57.15,5,1,14,1,0.727272727,1,27,22,16,1,0,0,4,0,0,164.5188916,0,108.5778,5,2.116666667,17.75356886,9.81955184,3
-0.823908741,426.2981391,3.8379,66.38,6,1,17,1,0.75,1,30,24,18,1,0,0,5,0,0,182.3623211,0,119.3968,5,2.212666667,19.57603072,10.89690211,4
-0.677780705,470.3243538,3.8545,75.61,7,1,20,1,0.769230769,1,33,26,20,1,0,0,6,0,0,200.2057505,0,130.2158,5,2.291212121,21.39849257,11.97425238,5
-0.602059991,514.3505686,3.8711,84.84,8,1,23,1,0.785714286,1,36,28,22,1,0,0,7,0,0,218.04918,0,141.0348,5,2.356666667,23.22095442,13.05160265,6
-0.552841969,558.3767833,3.8877,94.07,9,1,26,1,0.8,1,39,30,24,1,0,0,8,0,0,235.8926095,0,151.8538,5,2.412051282,25.04341628,14.12895292,7
-0.522878745,602.4029981,3.9043,103.3,10,1,29,1,0.8125,1,42,32,26,1,0,0,9,0,0,253.7360389,0,162.6728,5,2.45952381,26.86587813,15.20630319,8
-0.48148606,646.4292128,3.9209,112.53,11,1,32,1,0.823529412,1,45,34,28,1,0,0,10,0,0,271.5794684,0,173.4918,5,2.500666667,28.68833998,16.28365345,9
-1.669586227,390.2981391,2.4618,99.38,6,4,13,0,1.0,1,27,21,21,4,0,0,2,0,0,164.4362876,0,105.2042,12,3.680740741,17.58811415,10.6788305,10
-2.314258261,360.2875744,3.1009,79.15,5,3,12,0,1.0,1,25,20,20,3,0,0,2,0,0,153.2771118,0,99.1974,12,3.166,16.56355028,10.08224228,11
-2.431798276,360.2875744,3.1009,79.15,5,3,12,0,1.0,1,25,20,20,3,0,0,2,0,0,153.2771118,0,99.1974,12,3.166,16.56355028,10.08224228,12
-1.517126416,360.2875744,3.1009,79.15,5,3,12,0,1.0,1,25,20,20,3,0,0,2,0,0,153.2771118,0,99.1974,12,3.166,16.56355028,10.08224228,13
-1.995678626,360.2875744,3.1009,79.15,5,3,12,0,1.0,1,25,20,20,3,0,0,2,0,0,153.2771118,0,99.1974,12,3.166,16.56355028,10.08224228,14
-2.22184875,360.2875744,3.1009,79.15,5,3,12,0,1.0,1,25,20,20,3,0,0,2,0,0,153.2771118,0,99.1974,12,3.166,16.56355028,10.08224228,15
-1.473660723,390.2981391,2.4618,99.38,6,4,13,0,1.0,1,27,21,21,4,0,0,2,0,0,164.4362876,0,105.2042,12,3.680740741,17.58811415,10.6788305,16
-1.707743929,552.3509625,0.286,178.53,11,7,16,0,1.0,2,38,27,27,7,0,0,4,0,0,226.2299009,0,137.8376,12,4.698157895,23.34010964,14.19584671,17
-2.387216143,390.2981391,2.4618,99.38,6,4,13,0,1.0,1,27,21,21,4,0,0,2,0,0,164.4362876,0,105.2042,12,3.680740741,17.58811415,10.6788305,18
-2.036212173,390.2981391,2.4618,99.38,6,4,13,0,1.0,1,27,21,21,4,0,0,2,0,0,164.4362876,0,105.2042,12,3.680740741,17.58811415,10.6788305,19
-1.525783736,552.3509625,0.286,178.53,11,7,16,0,1.0,2,38,27,27,7,0,0,4,0,0,226.2299009,0,137.8376,12,4.698157895,23.34010964,14.19584671,20
0.602059991,320.2198887,0.6554,99.38,6,4,9,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.1892,8,4.517272727,13.88944353,8.284983654,21
0.72427587,482.2727122,-1.5204,178.53,11,7,12,0,1.0,2,33,22,22,7,0,0,4,0,0,194.4051903,0,114.8226,8,5.41,19.64143903,11.80199986,22
0.699404082,644.3255356,-3.6962,257.68,16,10,15,0,1.0,3,44,28,28,10,0,0,6,0,0,256.1988036,0,147.456,8,5.856363636,25.39343452,15.31901608,23
0.602059991,320.2198887,0.6554,99.38,6,4,9,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.1892,8,4.517272727,13.88944353,8.284983654,24
0.72427587,482.2727122,-1.5204,178.53,11,7,12,0,1.0,2,33,22,22,7,0,0,4,0,0,194.4051903,0,114.8226,8,5.41,19.64143903,11.80199986,25
0.698970004,644.3255356,-3.6962,257.68,16,10,15,0,1.0,3,44,28,28,10,0,0,6,0,0,256.1988036,0,147.456,8,5.856363636,25.39343452,15.31901608,26
2.949877704,338.2304534,0.7343,75.61,7,1,19,0,1.0,0,23,16,16,1,0,0,6,0,0,139.6888879,0,86.8378,3,3.287391304,14.66644176,8.34327821,27
0.462397998,877.5147333,-3.9229,341.5,16,15,22,0,0.928571429,4,61,42,42,13,3,0,0,0,3,357.3477162,0,216.4608,22,5.598360656,35.82150506,22.18568068,28
0.146128036,861.5198187,-2.8937,321.27,15,14,22,0,0.928571429,4,60,42,42,12,3,0,0,0,3,352.5534825,0,215.071,22,5.3545,35.50404798,22.09414845,29
1.980003372,366.2617536,1.5145,75.61,7,1,21,0,1.0,0,25,18,18,1,0,0,6,0,0,152.4187721,0,96.0718,5,3.0244,16.08065533,9.419287815,30
2.079181246,222.1103383,-1.5953,107.22,6,4,7,0,0.888888889,0,15,9,9,4,1,0,1,0,0,88.11079028,0,50.9732,5,7.148,8.665828895,4.83157128,31
1.330413773,408.3087037,2.6848,75.61,7,1,24,0,1.0,0,28,21,21,1,0,0,6,0,0,171.5135984,0,109.9228,7,2.700357143,18.20197567,10.91928781,32
1.330413773,394.2930537,2.2947,75.61,7,1,23,0,1.0,0,27,20,20,1,0,0,6,0,0,165.1486563,0,105.3058,7,2.80037037,17.49486889,10.41928781,33
2.089905111,236.1259884,-1.2052,107.22,6,4,8,0,0.9,0,16,10,10,4,1,0,1,0,0,94.4757324,0,55.5902,5,6.70125,9.372935676,5.33157128,34
1.762678564,236.1259884,-1.2052,107.22,6,4,8,0,0.9,0,16,10,10,4,1,0,1,0,0,94.4757324,0,55.5902,5,6.70125,9.372935676,5.33157128,35
0.450249108,436.3400039,3.465,75.61,7,1,26,0,1.0,0,30,23,23,1,0,0,6,0,0,184.2434827,0,119.1568,9,2.520333333,19.61618923,11.91928781,36
0.469822016,568.4186481,3.5148,103.3,10,1,35,0,1.0,0,39,29,29,1,0,0,9,0,0,237.773771,0,151.6138,9,2.648717949,25.08357479,15.15133862,37
0.336459734,241.1314081,0.9576,72.47,4,1,7,0,0.75,1,17,12,12,0,3,0,1,0,1,100.8957568,0,61.2727,8,4.262941176,10.1600909,6.108537228,38
1.782114148,250.1416384,-0.8151,107.22,6,4,9,0,0.909090909,0,17,11,11,4,1,0,1,0,0,100.8406745,0,60.2072,6,6.307058824,10.08004246,5.83157128,39
1.0,250.1416384,-0.8151,107.22,6,4,9,0,0.909090909,0,17,11,11,4,1,0,1,0,0,100.8406745,0,60.2072,6,6.307058824,10.08004246,5.83157128,40
1.176091259,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.505925244,41
1.198657087,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.505925244,42
1.0,264.1572885,-0.425,107.22,6,4,10,0,0.916666667,0,18,12,12,4,1,0,1,0,0,107.2056166,0,64.8242,7,5.956666667,10.78714924,6.33157128,43
1.255272505,264.1572885,-0.425,107.22,6,4,10,0,0.916666667,0,18,12,12,4,1,0,1,0,0,107.2056166,0,64.8242,7,5.956666667,10.78714924,6.33157128,44
1.079181246,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.505925244,45
1.100370545,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.505925244,46
1.819858798,321.2151377,-0.7588,121.46,6,5,12,0,0.933333333,0,22,15,15,5,1,0,0,0,1,131.7409652,0,82.126,8,5.520909091,13.55778519,7.917352382,47
1.653212514,305.1838376,-0.737,119.25,6,5,8,0,0.928571429,1,21,14,14,4,1,0,1,0,1,124.4795319,0,75.2859,8,5.678571429,12.44184978,7.607270031,48
1.84509804,305.1838376,-0.737,119.25,6,5,8,0,0.928571429,1,21,14,14,4,1,0,1,0,1,124.4795319,0,75.2859,8,5.678571429,12.44184978,7.607270031,49
1.278753601,278.1729386,-0.0349,107.22,6,4,11,0,0.923076923,0,19,13,13,4,1,0,1,0,0,113.5705587,0,69.4412,8,5.643157895,11.49425602,6.83157128,50
0.439332694,470.2363267,-2.8498,206.6,12,8,15,0,0.95,1,32,20,20,8,1,0,3,0,0,186.5233479,0,108.0814,8,6.45625,18.27081538,10.94011971,51
-0.349692477,598.3564418,0.4878,160.83,13,3,30,0,0.964285714,1,41,28,28,3,1,0,9,0,0,244.1529874,0,147.8284,8,3.922682927,24.78987395,14.92967413,52
-0.349692477,598.3564418,0.4878,160.83,13,3,30,0,0.964285714,1,41,28,28,3,1,0,9,0,0,244.1529874,0,147.8284,8,3.922682927,24.78987395,14.92967413,53
-0.349692477,598.3564418,0.4878,160.83,13,3,30,0,0.964285714,1,41,28,28,3,1,0,9,0,0,244.1529874,0,147.8284,8,3.922682927,24.78987395,14.92967413,54
-0.286509457,950.5661598,0.6206,234.67,21,3,54,0,0.977272727,1,65,44,44,3,1,0,17,0,0,386.9004231,0,234.3804,8,3.610307692,39.36956878,23.54847629,55
-0.286509457,950.5661598,0.6206,234.67,21,3,54,0,0.977272727,1,65,44,44,3,1,0,17,0,0,386.9004231,0,234.3804,8,3.610307692,39.36956878,23.54847629,56
-0.286509457,950.5661598,0.6206,234.67,21,3,54,0,0.977272727,1,65,44,44,3,1,0,17,0,0,386.9004231,0,234.3804,8,3.610307692,39.36956878,23.54847629,57
0.667452953,2051.221528,1.0356,465.42,46,3,129,0,0.989361702,1,140,94,94,3,1,0,42,0,0,832.9861595,0,504.8554,8,3.324428571,84.9311151,50.48223302,58
0.667452953,2051.221528,1.0356,465.42,46,3,129,0,0.989361702,1,140,94,94,3,1,0,42,0,0,832.9861595,0,504.8554,8,3.324428571,84.9311151,50.48223302,59
0.667452953,2051.221528,1.0356,465.42,46,3,129,0,0.989361702,1,140,94,94,3,1,0,42,0,0,832.9861595,0,504.8554,8,3.324428571,84.9311151,50.48223302,60
