TARGET,SMILES_Valid,MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings,HeavyAtomCount,CarbonCount,AliphaticCarbonCount,NumOH,NumCarbonyls,NumCarboxyls,NumEthers,NumSulfurs,NumAmines,LabuteASA,NumChargedAtoms,MolMR,LongestAliphaticChain,PolarRatio,Chi0v,Chi1v,Index
0.336459734,True,241.1314081,0.9576,72.47,4,1,7,0,0.75,1,17,12,12,0,3,0,1,0,1,100.8957568,0,61.2727,8,4.262941176,10.1600909,6.108537228,1
-1.013228266,True,338.2457096,3.8047,47.92,4,1,11,1,0.7,1,24,20,14,1,0,0,3,0,0,146.6754622,0,97.7588,5,1.996666667,15.93110701,8.74220157,2
-0.619788758,True,367.300578,4.2396,3.88,0,0,17,1,0.782608696,1,25,23,18,0,0,0,0,0,1,163.5830739,2,106.183,18,0.1552,17.48867364,10.87306566,3
0.146128036,True,388.1531685,-0.4587,109.8,7,0,14,0,0.875,0,25,16,16,0,2,0,2,0,0,172.805553,2,88.3042,6,4.392,18.43800777,10.06564401,4
-2.036212173,True,390.2981391,2.4618,99.38,6,4,13,0,1.0,1,27,21,21,4,0,0,2,0,0,164.4362876,0,105.2042,12,3.680740741,17.58811415,10.6788305,5
-0.48148606,True,524.2832768,-0.9254,195.6,12,7,15,0,0.958333333,2,36,24,24,7,1,0,4,0,0,211.2965966,0,124.3366,12,5.433333333,20.93052069,13.02038151,6
-0.600326279,True,514.3505686,4.0603,84.84,8,1,28,1,0.785714286,1,36,28,22,1,0,0,7,0,0,218.04918,0,141.0168,8,2.356666667,22.46359511,13.65515604,7
1.397940009,True,263.2015923,0.508,34.33,1,1,13,0,1.0,0,17,14,14,1,0,0,0,0,1,113.9806877,2,70.7978,12,2.019411765,12.22070877,7.155790079,8
-2.678815973,True,638.4968984,5.6094,103.3,10,1,41,0,1.0,0,44,34,34,1,0,0,9,0,0,269.5984816,0,174.7688,16,2.347727273,28.45597199,17.71948697,9
-0.552841969,True,558.3767833,4.0769,94.07,9,1,31,1,0.8,1,39,30,24,1,0,0,8,0,0,235.8926095,0,151.8358,8,2.412051282,24.28605696,14.73250631,10
-0.187086643,True,521.3927677,3.5055,104.71,8,2,31,0,0.962962963,0,36,27,27,1,1,0,6,0,1,219.4146354,0,141.4705,13,2.908611111,22.98262116,14.14866709,11
-3.004364805,True,299.2824294,3.9242,66.48,3,3,15,0,0.888888889,0,21,18,18,2,0,0,0,0,1,131.1820221,0,91.286,18,3.165714286,13.97356669,8.931363351,12
-1.22184875,True,1068.801186,7.4494,191.84,16,2,65,0,0.964285714,0,74,56,56,2,2,0,12,0,2,449.6047891,0,290.0816,13,2.592432432,47.27388307,29.30235206,13
-1.698970004,True,327.3137296,4.294,40.13,2,0,17,0,0.95,0,23,20,20,0,1,1,0,0,1,144.5987122,2,97.1614,16,1.744782609,16.07741868,9.995791185,14
0.903089987,True,306.2406242,2.4056,57.15,5,1,18,0,1.0,0,21,16,16,1,0,0,4,0,0,129.4617974,0,83.7378,8,2.721428571,13.68680848,8.332735624,15
-0.549750892,True,558.3767833,4.0769,94.07,9,1,31,1,0.8,1,39,30,24,1,0,0,8,0,0,235.8926095,0,151.8358,8,2.412051282,24.28605696,14.73250631,16
-0.100179498,True,320.2198887,0.9436,99.38,6,4,11,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3292,10,4.517272727,13.56317012,8.535294756,17
-0.369572125,True,526.2989269,-1.2894,206.6,12,8,19,0,0.958333333,1,36,24,24,8,1,0,3,0,0,211.9831163,0,126.5494,12,5.738888889,21.0992425,12.94011971,18
0.431363764,True,355.1874622,2.6792,3.88,0,0,13,1,0.736842105,1,21,19,14,0,0,0,0,0,1,142.4829143,2,87.715,14,0.184761905,15.49031411,8.87306566,19
0.397940009,True,444.2157688,0.8135,109.8,7,0,16,0,0.9,0,29,20,20,0,2,0,2,0,0,198.2653215,2,106.6322,7,3.786206897,21.59270831,11.92934731,20
1.322219295,True,313.140512,1.5089,3.88,0,0,10,1,0.6875,1,18,16,11,0,0,0,0,0,1,123.388088,2,73.864,11,0.215555556,13.36899377,7.37306566,21
0.477121255,True,335.249415,3.919,57.2,3,0,15,0,1.0,0,22,17,17,0,0,0,0,0,1,138.176766,2,92.8676,12,2.6,15.79619827,10.60001491,22
-1.484126156,True,578.4029981,3.0528,155.14,10,5,30,0,0.9,0,40,30,30,5,1,0,4,0,0,241.2198411,0,153.981,18,3.8785,24.79776023,15.25447397,23
0.944482672,True,339.2692779,3.1879,0.0,0,0,13,1,0.714285714,1,23,21,15,0,0,0,0,0,1,151.0284332,2,98.9654,12,0.0,16.45313973,9.498226497,24
-0.688246139,True,510.3040123,-0.452,178.53,11,7,16,0,1.0,2,35,24,24,7,0,0,4,0,0,207.1350745,0,124.1966,12,5.100857143,20.72937918,13.05231097,25
0.107027631,True,497.2836112,-2.4966,209.4,11,9,17,0,0.954545455,1,34,22,22,8,1,0,2,0,1,199.689549,0,119.3661,10,6.158823529,19.77678065,12.07774728,26
-1.562249437,True,726.4765569,1.8078,214.06,14,7,38,0,0.916666667,0,50,36,36,7,1,0,6,0,0,299.2250517,0,187.6326,18,4.2812,30.49181167,18.55856545,27
-1.517126416,True,360.2875744,3.1009,79.15,5,3,12,0,1.0,1,25,20,20,3,0,0,2,0,0,153.2771118,0,99.1974,12,3.166,16.56355028,10.08224228,28
2.397940009,True,178.1027508,1.3077,37.3,2,1,7,0,1.0,0,11,8,8,1,0,0,0,0,0,71.46233378,0,49.1042,6,3.390909091,8.029954226,5.755385355,29
-1.609781681,True,405.3090381,1.5818,121.46,6,5,18,0,0.952380952,0,28,21,21,5,1,0,0,0,1,169.9306178,0,109.828,14,4.337857143,17.80042588,10.94422584,30
-1.48148606,True,290.1551803,2.465,66.76,5,2,10,0,0.928571429,1,19,14,14,2,1,0,1,1,0,119.4643122,0,76.9616,10,3.513684211,12.53168048,8.395929098,31
1.255272505,True,243.2198292,1.9534,40.13,2,0,11,0,0.928571429,0,17,14,14,0,1,1,0,0,1,106.4090595,2,69.4594,10,2.360588235,11.83477799,6.995791185,32
