,MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings,HeavyAtomCount,CarbonCount,AliphaticCarbonCount,NumOH,NumCarbonyls,NumCarboxyls,NumEthers,NumSulfurs,NumAmines,LabuteASA,NumChargedAtoms,MolMR,LongestAliphaticChain,PolarRatio,Chi0v,Chi1v
MW,1.0,-0.004727621179412926,0.8179788897399309,0.9493265312927812,0.31912078093738083,0.924325943253434,0.005181288044602118,0.009628731837512873,0.2820876440477155,0.9992006222598604,0.9796882576539933,0.9795462498473787,0.3105591894086498,0.3533951985671319,,0.8332260467991447,-0.10222174984778676,0.2669783477940958,0.9979784273923822,,0.988529573430963,0.2845069426475682,-0.05318262719023327,0.9942540432973501,0.9907404434856111
LogP,-0.004727621179412926,1.0,-0.5308286911493226,-0.2725767907253324,-0.7399732887518191,0.2233877498451368,0.3225719151851453,-0.25264785145452784,-0.40090881908670617,0.0027945860469959167,0.12491598682413045,0.07501920181147699,-0.7538315596700371,-0.239552461166656,,0.15227051658269813,0.010393352231840205,-0.22323440936571673,0.026594760979201718,,0.08521775240557349,0.21714760216494944,-0.8667783294533626,0.06325845441467391,0.07349798680944176
TPSA,0.8179788897399309,-0.5308286911493226,1.0,0.904374293907275,0.7730467351578447,0.5987123763785054,-0.20003413405321294,0.11854511177134572,0.5069504454501281,0.817854154118167,0.7521008101530225,0.7836024829483706,0.7705969130956623,0.5264292802861843,,0.5045987786664177,-0.1386619382083762,0.41394330837413845,0.8047019251360681,,0.7719887869643868,0.2777487490656453,0.4718709222821956,0.7821884843053774,0.7826618848893462
HBA,0.9493265312927812,-0.2725767907253324,0.904374293907275,1.0,0.43726243995086056,0.8446208104707297,-0.08384806998425308,0.10006265242692688,0.3585303727186017,0.9470535897590513,0.8969003048338521,0.9104971473558129,0.4421431873140403,0.33789310556342333,,0.8211198681574142,-0.11359561252583983,0.20069543784841304,0.9410243875484876,,0.9165609795009483,0.15947461488971612,0.18583868772137918,0.9286599295551242,0.920123803631208
HBD,0.31912078093738083,-0.7399732887518191,0.7730467351578447,0.43726243995086056,1.0,0.007465800330545874,-0.29212903080462266,0.14585785690791195,0.5438773084562017,0.3199905124762068,0.24853707661099184,0.29396877365758634,0.9923689590437497,0.5081960236309679,,-0.1446290548244754,-0.05603760964897576,0.5494772718484694,0.3005834702309779,,0.26468577267334975,0.31041185915798464,0.7287322275804301,0.27022565447580754,0.28260942466718153
RotBonds,0.924325943253434,0.2233877498451368,0.5987123763785054,0.8446208104707297,0.007465800330545874,1.0,0.03331390709513788,0.03032189132267123,-0.03670399246261561,0.9245892474804044,0.9356305883100124,0.9310998426102212,-0.003160429892849656,0.1984422684946498,,0.9133068166558552,-0.13053616788532435,0.14531646495252729,0.9335148520760326,,0.9443834622749187,0.20589567598381733,-0.2668137412842951,0.9430147865307744,0.9373310803543441
NumAromRings,0.005181288044602118,0.3225719151851453,-0.20003413405321294,-0.08384806998425308,-0.29212903080462266,0.03331390709513788,1.0,-0.846477765169972,0.1743974363654355,0.020069723386114707,0.08177223094856274,-0.0731180364905501,-0.29327604747251823,-0.22342394862611778,,0.1109467243711788,-0.0890576352290891,-0.14325203360011252,0.024398835312155517,,0.04972058619968566,-0.2847323835963094,-0.4108400619329326,0.031050028471457294,0.010758341942707408
FractionCSP3,0.009628731837512873,-0.25264785145452784,0.11854511177134572,0.10006265242692688,0.14585785690791195,0.03032189132267123,-0.846477765169972,1.0,-0.20275455448777885,-0.008644302095592152,-0.06832862645726447,0.06278314111525089,0.16438192834637383,-0.1680470234539502,,0.02416223128079059,0.10933744111201786,-0.02733143873707877,-0.009783259306852733,,-0.033237276543949215,0.08711206232021473,0.2636667388945979,-0.010628876244838709,0.003110663671785158
NumRings,0.2820876440477155,-0.40090881908670617,0.5069504454501281,0.3585303727186017,0.5438773084562017,-0.03670399246261561,0.1743974363654355,-0.20275455448777885,1.0,0.29070206735946585,0.2582290102215342,0.23138110349901178,0.5523950521660594,0.2321260691935575,,0.07439096148065301,-0.10209322231268755,0.08815736852572978,0.273639626662808,,0.23936917237124983,0.17347684568333316,0.3168983051833541,0.24866869428380478,0.2558086919706559
HeavyAtomCount,0.9992006222598604,0.0027945860469959167,0.817854154118167,0.9470535897590513,0.3199905124762068,0.9245892474804044,0.020069723386114707,-0.008644302095592152,0.29070206735946585,1.0,0.985524216525185,0.9830792502078824,0.3106171230238565,0.3601093300022761,,0.8313283445552156,-0.12946985204776112,0.27358497401243415,0.9993442072829223,,0.9921522892927706,0.2960897029609476,-0.05699250893568226,0.9963485828044656,0.992971729976135
CarbonCount,0.9796882576539933,0.12491598682413045,0.7521008101530225,0.8969003048338521,0.24853707661099184,0.9356305883100124,0.08177223094856274,-0.06832862645726447,0.2582290102215342,0.985524216525185,1.0,0.9880042765658701,0.23563697845351583,0.3435428773817904,,0.8221357063136469,-0.1877324194809418,0.27230951035266243,0.9899634821654719,,0.9973716630734402,0.3517064005457388,-0.1532576111769698,0.9939648010552992,0.9939542762853459
AliphaticCarbonCount,0.9795462498473787,0.07501920181147699,0.7836024829483706,0.9104971473558129,0.29396877365758634,0.9310998426102212,-0.0731180364905501,0.06278314111525089,0.23138110349901178,0.9830792502078824,0.9880042765658701,1.0,0.2812376992444615,0.3783931186854167,,0.8054995574774124,-0.17405997377226592,0.2946894327379545,0.9868507340939991,,0.9903404224733159,0.396061609649495,-0.08970319747281479,0.9898241799701085,0.9929577520656095
NumOH,0.3105591894086498,-0.7538315596700371,0.7705969130956623,0.4421431873140403,0.9923689590437497,-0.003160429892849656,-0.29327604747251823,0.16438192834637383,0.5523950521660594,0.3106171230238565,0.23563697845351583,0.2812376992444615,1.0,0.46110234403340955,,-0.13398104025743662,-0.04736776150497899,0.46559312607348174,0.29059921123866245,,0.25176231851637904,0.29584387961727965,0.749333255977675,0.2592720443015893,0.27037433028931035
NumCarbonyls,0.3533951985671319,-0.239552461166656,0.5264292802861843,0.33789310556342333,0.5081960236309679,0.1984422684946498,-0.22342394862611778,-0.1680470234539502,0.2321260691935575,0.3601093300022761,0.3435428773817904,0.3783931186854167,0.46110234403340955,1.0,,-0.008243182207448942,-0.07835385953207188,0.595932226253909,0.3524556703826385,,0.3451673763725024,0.36532287961581467,0.34111510178936627,0.3398487349559513,0.3524671104214094
NumCarboxyls,,,,,,,,,,,,,,,,,,,,,,,,,
NumEthers,0.8332260467991447,0.15227051658269813,0.5045987786664177,0.8211198681574142,-0.1446290548244754,0.9133068166558552,0.1109467243711788,0.02416223128079059,0.07439096148065301,0.8313283445552156,0.8221357063136469,0.8054995574774124,-0.13398104025743662,-0.008243182207448942,,1.0,-0.13055642926714836,-0.15189187376650956,0.8364935303551094,,0.8316257984675365,-0.02382942759753541,-0.2511745329652726,0.841509551286875,0.8225847169796306
NumSulfurs,-0.10222174984778676,0.010393352231840205,-0.1386619382083762,-0.11359561252583983,-0.05603760964897576,-0.13053616788532435,-0.0890576352290891,0.10933744111201786,-0.10209322231268755,-0.12946985204776112,-0.1877324194809418,-0.17405997377226592,-0.04736776150497899,-0.07835385953207188,,-0.13055642926714836,1.0,-0.1084403425105643,-0.13225781965357541,,-0.1544345186866003,-0.19300827573134435,0.026692150881460562,-0.1403113118354724,-0.13268485484170287
NumAmines,0.2669783477940958,-0.22323440936571673,0.41394330837413845,0.20069543784841304,0.5494772718484694,0.14531646495252729,-0.14325203360011252,-0.02733143873707877,0.08815736852572978,0.27358497401243415,0.27230951035266243,0.2946894327379545,0.46559312607348174,0.595932226253909,,-0.15189187376650956,-0.1084403425105643,1.0,0.27143435670763627,,0.28311638063074496,0.28246884750742063,0.167602701949746,0.2697261132005433,0.2829746708049732
LabuteASA,0.9979784273923822,0.026594760979201718,0.8047019251360681,0.9410243875484876,0.3005834702309779,0.9335148520760326,0.024398835312155517,-0.009783259306852733,0.273639626662808,0.9993442072829223,0.9899634821654719,0.9868507340939991,0.29059921123866245,0.3524556703826385,,0.8364935303551094,-0.13225781965357541,0.27143435670763627,1.0,,0.9958498115662068,0.3011646623529656,-0.07718081463225167,0.9987030280694904,0.9960890199213771
NumChargedAtoms,,,,,,,,,,,,,,,,,,,,,,,,,
MolMR,0.988529573430963,0.08521775240557349,0.7719887869643868,0.9165609795009483,0.26468577267334975,0.9443834622749187,0.04972058619968566,-0.033237276543949215,0.23936917237124983,0.9921522892927706,0.9973716630734402,0.9903404224733159,0.25176231851637904,0.3451673763725024,,0.8316257984675365,-0.1544345186866003,0.28311638063074496,0.9958498115662068,,1.0,0.32286615351607667,-0.12479612551185253,0.9985878454492703,0.9979701996003572
LongestAliphaticChain,0.2845069426475682,0.21714760216494944,0.2777487490656453,0.15947461488971612,0.31041185915798464,0.20589567598381733,-0.2847323835963094,0.08711206232021473,0.17347684568333316,0.2960897029609476,0.3517064005457388,0.396061609649495,0.29584387961727965,0.36532287961581467,,-0.02382942759753541,-0.19300827573134435,0.28246884750742063,0.3011646623529656,,0.32286615351607667,1.0,-0.07788974061994013,0.3064695321207974,0.3406379266779363
PolarRatio,-0.05318262719023327,-0.8667783294533626,0.4718709222821956,0.18583868772137918,0.7287322275804301,-0.2668137412842951,-0.4108400619329326,0.2636667388945979,0.3168983051833541,-0.05699250893568226,-0.1532576111769698,-0.08970319747281479,0.749333255977675,0.34111510178936627,,-0.2511745329652726,0.026692150881460562,0.167602701949746,-0.07718081463225167,,-0.12479612551185253,-0.07788974061994013,1.0,-0.11026153777154132,-0.11192709771093387
Chi0v,0.9942540432973501,0.06325845441467391,0.7821884843053774,0.9286599295551242,0.27022565447580754,0.9430147865307744,0.031050028471457294,-0.010628876244838709,0.24866869428380478,0.9963485828044656,0.9939648010552992,0.9898241799701085,0.2592720443015893,0.3398487349559513,,0.841509551286875,-0.1403113118354724,0.2697261132005433,0.9987030280694904,,0.9985878454492703,0.3064695321207974,-0.11026153777154132,1.0,0.9978242846110674
Chi1v,0.9907404434856111,0.07349798680944176,0.7826618848893462,0.920123803631208,0.28260942466718153,0.9373310803543441,0.010758341942707408,0.003110663671785158,0.2558086919706559,0.992971729976135,0.9939542762853459,0.9929577520656095,0.27037433028931035,0.3524671104214094,,0.8225847169796306,-0.13268485484170287,0.2829746708049732,0.9960890199213771,,0.9979701996003572,0.3406379266779363,-0.11192709771093387,0.9978242846110674,1.0
