Descriptor_Set,DR_Method,Clustering,ARI_vs_Baseline,N_Clusters,Silhouette,Davies_Bouldin
Original_25,PaCMAP,DBSCAN,1.0,6,0.6714269518852234,0.29922241032099933
Original_25,KMeans,KMeans_4,0.5524349250587197,4,0.5209779143333435,0.6600678053103619
Original_25,KMeans,KMeans_6,0.3541074670746854,6,0.6079341769218445,0.4810331905338845
Original_25,Hierarchical,Hierarchical_4,0.5234891160162616,4,0.5208202004432678,0.6612100709731328
Original_25,PaCMAP,HDBSCAN,0.106119049143269,23,0.7933148741722107,0.2717118612926646
Original_25,PCA,DBSCAN,-0.015388196029993834,1,,
Original_25,KMeans,KMeans_4,0.04389855165600287,4,0.3763606689410287,0.9213915968118367
Original_25,KMeans,KMeans_6,0.15276087783422893,6,0.3290071958435031,0.8478003868540321
Original_25,Hierarchical,Hierarchical_4,-0.09376226521544777,4,0.33914939172496056,0.658810088535738
Original_25,PCA,HDBSCAN,0.06780290169762064,10,0.38641086690975407,0.714087571132096
Original_25,t-SNE,DBSCAN,0.43608861966678286,9,0.41889113187789917,0.5824423894474937
Original_25,KMeans,KMeans_4,0.28564862116552747,4,0.49793386459350586,0.7461463738044766
Original_25,KMeans,KMeans_6,0.2418229942452113,6,0.5168814659118652,0.6778831919667496
Original_25,Hierarchical,Hierarchical_4,0.503483751677268,4,0.5090278387069702,0.7038932324597077
Original_25,t-SNE,HDBSCAN,0.25189560545774103,13,0.5041300654411316,0.5686719064958506
Original_25,UMAP,DBSCAN,0.7329701220010499,7,0.6599475145339966,0.3180166096104295
Original_25,KMeans,KMeans_4,0.29188519853081774,4,0.46953243017196655,0.7307196006539783
Original_25,KMeans,KMeans_6,0.5036733463725084,6,0.6335854530334473,0.4944233141423083
Original_25,Hierarchical,Hierarchical_4,0.5832415600930377,4,0.5727575421333313,0.6332367620249978
Original_25,UMAP,HDBSCAN,0.12205817323184022,22,0.744962751865387,0.31134851872619085
Minimal_10,PaCMAP,DBSCAN,0.4270722264719207,4,0.7521509528160095,0.37183846105858176
Minimal_10,KMeans,KMeans_4,0.4270722264719207,4,0.7521509528160095,0.3718384610585818
Minimal_10,KMeans,KMeans_6,0.23737946654445893,6,0.6965738534927368,0.4298816392736944
Minimal_10,Hierarchical,Hierarchical_4,0.4270722264719207,4,0.7521509528160095,0.3718384610585818
Minimal_10,PaCMAP,HDBSCAN,0.12391131607833372,22,0.7001942992210388,0.3119417373984818
Minimal_10,PCA,DBSCAN,-0.015388196029993834,1,,
Minimal_10,KMeans,KMeans_4,0.09487146448587908,4,0.4056534933259831,0.7740754895616139
Minimal_10,KMeans,KMeans_6,0.0770838507501362,6,0.4217888996743624,0.7687046630294597
Minimal_10,Hierarchical,Hierarchical_4,0.009732899463830698,4,0.3878769110644711,0.8593987171754165
