Feature,VIF
CarbonCount,37980.381245646655
MolMR,17969.976869916205
AliphaticCarbonCount,14097.274207364771
LabuteASA,6860.553207637556
Chi0v,5426.239048589842
HeavyAtomCount,3494.0445694397586
Chi1v,2755.693338590117
MW,1820.503315634665
TPSA,1347.787549588913
HBA,864.9212531782722
RotBonds,642.8174722889422
NumEthers,519.9619189175829
HBD,481.25970623293347
NumAromRings,418.4200179006999
NumOH,340.7574069427187
NumRings,72.97304890113298
LogP,69.15832415515692
NumChargedAtoms,35.34084859878618
NumAmines,22.531199742228235
NumCarbonyls,19.848425217465625
PolarRatio,15.427625454481035
FractionCSP3,15.164000660471094
NumSulfurs,9.87296453411407
LongestAliphaticChain,4.923317465371798
NumCarboxyls,2.9092753742607695
