Feature,Importance
HBD,0.16925531641558983
NumOH,0.10658638150177388
LogP,0.08772698980093431
CarbonCount,0.05982668313185656
LabuteASA,0.05821728329703293
Chi1v,0.052774751831268125
NumEthers,0.05032139241677652
HBA,0.04431153325371275
Chi0v,0.043201266461814165
LongestAliphaticChain,0.043148013220199725
NumAmines,0.03651437416996545
FractionCSP3,0.03059093837775623
PolarRatio,0.02832521336577437
MolMR,0.027924676963758693
MW,0.02737344540647116
TPSA,0.024451835107165202
RotBonds,0.023896880028680664
HeavyAtomCount,0.021465667193712977
AliphaticCarbonCount,0.01620421288646205
NumChargedAtoms,0.014187710131158672
NumCarbonyls,0.013855558161960775
NumAromRings,0.009837508571186187
NumRings,0.008431459214079505
NumCarboxyls,0.0015709090909090905
NumSulfurs,0.0
