Feature,Importance
FractionCSP3,0.11262448119780931
HBD,0.0919974297932808
LogP,0.09152143820502198
NumOH,0.07443584557436277
LongestAliphaticChain,0.052371468194721105
CarbonCount,0.047048504872611085
LabuteASA,0.043823233612497826
MolMR,0.042774229456442193
HBA,0.042196955081422696
MW,0.04190183942248863
NumChargedAtoms,0.03989988147009178
HeavyAtomCount,0.03755236625931533
Chi1v,0.03590305936906808
TPSA,0.0348093729936621
PolarRatio,0.03469402768670539
Chi0v,0.03432132582926221
RotBonds,0.029301913525791163
NumAromRings,0.02543670766653297
AliphaticCarbonCount,0.025244606670305956
NumRings,0.022862754401496002
NumEthers,0.021895997947185854
NumAmines,0.011681840843593956
NumCarbonyls,0.005700719926330843
NumCarboxyls,0.0
NumSulfurs,0.0
