Feature,Importance
LabuteASA,0.0837817183062419
HBA,0.08103696724355464
CarbonCount,0.0774365530439048
FractionCSP3,0.07265252772675242
MolMR,0.06734596415486502
Chi1v,0.06524836615491166
HeavyAtomCount,0.06356565179140218
NumAromRings,0.06351041746824451
LogP,0.05835990348610103
AliphaticCarbonCount,0.056421060066562945
Chi0v,0.05211071036437529
RotBonds,0.04694630006276501
MW,0.04603242205097278
TPSA,0.044543744806320264
LongestAliphaticChain,0.03801602810933535
NumRings,0.03075427114424537
NumEthers,0.019122421042772463
PolarRatio,0.012919847441580423
NumChargedAtoms,0.007324198624804469
HBD,0.004558106307028584
NumOH,0.004517945874001774
NumAmines,0.0025861192570869984
NumCarbonyls,0.0012087554721701068
NumCarboxyls,0.0
NumSulfurs,0.0
