Feature,Importance
FractionCSP3,0.10838295803529896
HBD,0.08416171455139024
LogP,0.06458048975240227
CarbonCount,0.058443956995897724
PolarRatio,0.054881159328524144
MolMR,0.052259934777280706
NumOH,0.0497741889186625
LongestAliphaticChain,0.046450060850348834
LabuteASA,0.04458814850220975
HeavyAtomCount,0.04370196101465986
NumEthers,0.04122843381458684
Chi1v,0.03886710771132839
TPSA,0.03736066530439179
RotBonds,0.03621212017628519
NumChargedAtoms,0.03530434099774471
MW,0.03464952320814828
NumAromRings,0.029259009795812325
AliphaticCarbonCount,0.0291959239098842
HBA,0.026634528089779123
NumRings,0.026509269377654153
Chi0v,0.024983782616020616
NumAmines,0.02333470753357942
NumCarbonyls,0.009236014738110003
NumCarboxyls,0.0
NumSulfurs,0.0
