Feature,Importance
f19,2.428725481033325
f13,1.8020613193511963
f7,1.3732082843780518
f3,1.2864750623703003
f0,1.1211707592010498
f1,1.1015069484710693
f2,1.0809094905853271
f10,0.97297203540802
f21,0.8421462774276733
f8,0.8372431397438049
f4,0.7319048047065735
f22,0.6922054886817932
f17,0.6658099889755249
f12,0.6329294443130493
f18,0.40580737590789795
f5,0.3154589831829071
f11,0.29915133118629456
f23,0.2964029014110565
f15,0.24652805924415588
f6,0.2355535626411438
f9,0.1954316943883896
f20,0.13316047191619873
f24,0.101034015417099
