Feature,Importance,Std
PolarRatio,0.11176470588235295,0.030281265120549992
NumAromRings,0.05441176470588235,0.014779228854589559
TPSA,0.04852941176470586,0.013235294117647057
NumSulfurs,0.0338235294117647,0.0067390819043468
NumRings,0.029411764705882325,0.011391127488845347
HBD,0.023529411764705865,0.011764705882352946
MW,0.016176470588235257,0.007919360010491927
NumCarbonyls,0.008823529411764675,0.007204381596421087
FractionCSP3,0.007352941176470562,0.007352941176470562
LabuteASA,0.004411764705882337,0.0067390819043468
NumOH,0.002941176470588225,0.00588235294117645
RotBonds,0.002941176470588225,0.00588235294117645
LogP,0.0014705882352941124,0.004411764705882337
AliphaticCarbonCount,0.0,0.0
CarbonCount,0.0,0.0
NumCarboxyls,0.0,0.0
NumEthers,0.0,0.0
HeavyAtomCount,0.0,0.0
NumAmines,0.0,0.0
NumChargedAtoms,0.0,0.0
MolMR,0.0,0.0
LongestAliphaticChain,0.0,0.0
HBA,0.0,0.0
Chi0v,0.0,0.0
Chi1v,0.0,0.0
