Name,TARGET,SOM_X,SOM_Y
"2,4-dihydroxybenzophenone 6,1EO",2.56937391,0,7
Alcohol C12-C14 31EO,2.7084209,8,2
Alcohol C12-C14 51EO,2.96425963,6,2
Alkest SBO 450,2.178976947,7,3
Alkest SBO 550,2.257678575,5,3
Alkest SP 020,1.612783857,5,9
Alkest TW 020,1.851258349,6,5
Alkest TW 060,1.908485019,6,5
Alkest TW 080,2.08278537,6,5
Alkest TW 327,2.82672252,3,0
Alkest TW 85,2.178976947,0,1
Alkomol L 306,0.0,2,9
Alkomol L 408,1.322219295,2,9
Alkomol L 504,1.322219295,2,9
Alkomol L 603,1.322219295,2,9
Alkonat C 200,1.041392685,9,0
Alkonat CE 200,1.041392685,9,0
Alkonat CE 250 F,1.322219295,9,2
Alkonat CE 500,1.612783857,6,3
Alkonat E 200 F,1.322219295,9,0
Alkonat L 040,1.041392685,3,9
Alkonat L 050,1.322219295,3,9
Alkonat L 060,1.491361694,3,9
Alkonat L 070,1.612783857,2,8
Alkonat L 080,1.612783857,3,7
Alkonat L 090,1.612783857,2,7
Alkonat L 100,1.612783857,2,7
Alkonat L 120,1.785329835,3,6
Alkonat L 230,2.580924976,8,0
Alkonat L 400,2.756636108,7,2
Alkonat OA 20,1.041392685,9,2
Alkopon CN,2.968949681,6,7
Alkopon N ,3.196176185,6,7
Alkopon NNP 940,2.492760389,5,7
Alkopon NNP 940 HS,2.56937391,5,7
Alkopon NS,3.272073788,6,7
Alkosynt 130,1.612783857,4,9
Alkosynt 2590,1.707570176,2,8
Alkosynt 9160,2.399673721,3,8
Alkosynt 9180,2.764176132,3,8
Alkosynt ID 030,2.663700925,3,9
Alkosynt ID 060,2.903632516,3,8
Alkosynt IT 0070,1.785329835,3,7
Alkosynt IT 0090,1.959041392,2,7
Alkosynt IT 0100,2.004321374,2,7
Alkosynt IT 0150,2.344392274,2,6
Alkosynt IT 050,1.491361694,3,9
Alkosynt IT 060,1.707570176,3,8
Alkosynt IT 080,1.851258349,3,7
Alkosynt IT 120,2.206825876,3,6
Alkosynt S 150,2.23299611,9,0
Alkosynt S 200,2.463892989,9,2
Coco Amidoamine 3 EO,2.117271296,9,5
Oximulsion 9900,0.0,7,8
Softanol 120,1.908485019,3,6
Softanol 150,2.303196057,2,6
Softanol 90,1.851258349,3,7
Surfom 1322 SC,1.491361694,4,4
Surfom 1325 SC,1.322219295,3,4
Surfom SC 8155,2.982723388,6,9
Surfom SC 8213,1.041392685,9,6
Surfom SC 8216,2.004321374,5,6
Surfom SC 8243,2.416640507,6,9
Surfom SC 8384,1.851258349,3,4
Surfom SC 8898,2.08278537,6,9
Surfonic  POA-62,4.527642788,2,1
Surfonic DOS 75 PG,3.305566314,7,9
Surfonic DOS-70E,3.29907126,7,9
Surfonic L24-6.8 NRE U,1.491361694,2,8
Surfonic L24-9 NRE,1.491361694,2,8
Surfonic POA-L61,3.529045171,1,0
Termul 203,0.0,5,1
Termul 5500,0.0,4,2
Tersperse 2500,1.491361694,8,4
Tersperse 2612,1.707570176,1,3
"Tricyclodecanedimethanol 6,5EO",4.13261185,4,9
Ultrader DGW 710,1.322219295,2,8
Ultramina 200,1.707570176,9,8
Ultramina CO 150,1.959041392,8,8
Ultramina TA 0100,1.612783857,8,7
Ultramina TA 050,1.322219295,9,7
Ultramina TA 080,1.041392685,9,7
Ultramina TA 120,1.041392685,9,8
Ultramina TA 150,1.491361694,9,9
Ultramina TA 200,1.908485019,9,9
Ultranex NP 0040,1.041392685,0,8
Ultranex NP 0060,1.322219295,0,9
Ultranex NP 0080,1.491361694,0,9
Ultranex NP 0095,1.612783857,0,9
Ultranex NP 0100,1.707570176,0,9
Ultranex NP 0110,1.785329835,0,9
Ultranex NP 0120,1.785329835,0,9
Ultranex NP 0150,2.004321374,1,6
Ultranex NP 0200,2.303196057,1,6
Ultranex NP 0230,2.673020907,1,6
Ultranex NP 0300,2.7930916,7,0
Ultranex NP 0300 S,2.545307116,7,0
Ultranex NP 0400,2.881384657,7,2
Ultranex NP 1000,2.506505032,4,0
Ultranex NP 300 W30 PH,2.716837723,7,0
Ultranex NP 85 NR,1.491361694,0,9
Ultranex TSP 160,1.041392685,0,5
Ultranol 1001,2.96425963,3,8
Ultraric 5000 HM (lote Mau�),0.0,5,0
