Name,TARGET,SOM_X,SOM_Y,Cluster
"2,4-dihydroxybenzophenone 6,1EO",2.56937391,13,12,0
Alcohol C12-C14 31EO,2.7084209,4,12,2
Alcohol C12-C14 51EO,2.96425963,0,0,2
Alkest SBO 450,2.178976947,4,8,2
Alkest SBO 550,2.257678575,3,5,2
Alkest SP 020,1.612783857,12,20,0
Alkest TW 020,1.851258349,0,12,2
Alkest TW 060,1.908485019,0,10,2
Alkest TW 080,2.08278537,1,9,2
Alkest TW 327,2.82672252,6,3,1
Alkest TW 85,2.178976947,7,14,2
Alkomol L 306,0.0,23,8,0
Alkomol L 408,1.322219295,23,4,0
Alkomol L 504,1.322219295,21,7,0
Alkomol L 603,1.322219295,20,9,0
Alkonat C 200,1.041392685,4,19,2
Alkonat CE 200,1.041392685,4,17,2
Alkonat CE 250 F,1.322219295,0,16,2
Alkonat CE 500,1.612783857,0,3,2
Alkonat E 200 F,1.322219295,5,16,2
Alkonat L 040,1.041392685,20,13,0
Alkonat L 050,1.322219295,21,14,0
Alkonat L 060,1.491361694,22,15,0
Alkonat L 070,1.612783857,23,17,0
Alkonat L 080,1.612783857,23,20,0
Alkonat L 090,1.612783857,23,22,0
Alkonat L 100,1.612783857,23,23,0
Alkonat L 120,1.785329835,23,25,0
Alkonat L 230,2.580924976,2,14,2
Alkonat L 400,2.756636108,0,6,2
Alkonat OA 20,1.041392685,1,18,2
Alkopon CN,2.968949681,18,27,0
Alkopon N ,3.196176185,20,27,0
Alkopon NNP 940,2.492760389,13,27,0
Alkopon NNP 940 HS,2.56937391,13,27,0
Alkopon NS,3.272073788,20,27,0
Alkosynt 130,1.612783857,16,17,0
Alkosynt 2590,1.707570176,23,17,0
Alkosynt 9160,2.399673721,19,16,0
Alkosynt 9180,2.764176132,19,19,0
Alkosynt ID 030,2.663700925,18,14,0
Alkosynt ID 060,2.903632516,19,17,0
Alkosynt IT 0070,1.785329835,21,19,0
Alkosynt IT 0090,1.959041392,21,22,0
Alkosynt IT 0100,2.004321374,21,23,0
Alkosynt IT 0150,2.344392274,23,27,0
Alkosynt IT 050,1.491361694,21,12,0
Alkosynt IT 060,1.707570176,21,17,0
Alkosynt IT 080,1.851258349,21,20,0
Alkosynt IT 120,2.206825876,22,25,0
Alkosynt S 150,2.23299611,4,19,2
Alkosynt S 200,2.463892989,0,15,2
Coco Amidoamine 3 EO,2.117271296,10,23,0
Oximulsion 9900,0.0,17,21,0
Softanol 120,1.908485019,23,24,0
Softanol 150,2.303196057,23,27,0
Softanol 90,1.851258349,23,20,0
Surfom 1322 SC,1.491361694,23,0,2
Surfom 1325 SC,1.322219295,7,10,2
Surfom SC 8155,2.982723388,13,23,0
Surfom SC 8213,1.041392685,13,17,0
Surfom SC 8216,2.004321374,16,26,0
Surfom SC 8243,2.416640507,15,22,0
Surfom SC 8384,1.851258349,10,11,2
Surfom SC 8898,2.08278537,15,22,0
Surfonic  POA-62,4.527642788,15,0,2
Surfonic DOS 75 PG,3.305566314,18,24,0
Surfonic DOS-70E,3.29907126,18,24,0
Surfonic L24-6.8 NRE U,1.491361694,23,11,0
Surfonic L24-9 NRE,1.491361694,23,19,0
Surfonic POA-L61,3.529045171,15,3,2
Termul 203,0.0,7,0,1
Termul 5500,0.0,12,2,1
Tersperse 2500,1.491361694,9,17,2
Tersperse 2612,1.707570176,19,1,3
"Tricyclodecanedimethanol 6,5EO",4.13261185,16,19,0
Ultrader DGW 710,1.322219295,23,17,0
Ultramina 200,1.707570176,4,27,0
Ultramina CO 150,1.959041392,8,21,0
Ultramina TA 0100,1.612783857,7,27,0
Ultramina TA 050,1.322219295,14,15,0
Ultramina TA 080,1.041392685,9,27,0
Ultramina TA 120,1.041392685,4,27,0
Ultramina TA 150,1.491361694,7,24,0
Ultramina TA 200,1.908485019,5,22,2
Ultranex NP 0040,1.041392685,0,27,0
Ultranex NP 0060,1.322219295,1,24,0
Ultranex NP 0080,1.491361694,0,21,0
Ultranex NP 0095,1.612783857,0,24,0
Ultranex NP 0100,1.707570176,1,24,0
Ultranex NP 0110,1.785329835,0,21,0
Ultranex NP 0120,1.785329835,2,21,0
Ultranex NP 0150,2.004321374,17,11,0
Ultranex NP 0200,2.303196057,16,9,2
Ultranex NP 0230,2.673020907,17,6,2
Ultranex NP 0300,2.7930916,13,8,2
Ultranex NP 0300 S,2.545307116,13,8,2
Ultranex NP 0400,2.881384657,12,5,2
Ultranex NP 1000,2.506505032,4,1,1
Ultranex NP 300 W30 PH,2.716837723,13,8,2
Ultranex NP 85 NR,1.491361694,1,24,0
Ultranex TSP 160,1.041392685,8,6,0
Ultranol 1001,2.96425963,18,16,0
Ultraric 5000 HM (lote Mau�),0.0,9,2,1
