Name,TARGET,SOM_X,SOM_Y,PaCMAP_Dim1,PaCMAP_Dim2,PaCMAP_Cluster
"2,4-dihydroxybenzophenone 6,1EO",2.56937391,13,12,-13.951863,-10.2130165,0
Alcohol C12-C14 31EO,2.7084209,4,12,6.6618056,5.859012,1
Alcohol C12-C14 51EO,2.96425963,0,0,8.071197,3.8676002,1
Alkest SBO 450,2.178976947,4,8,7.347827,4.9751506,1
Alkest SBO 550,2.257678575,3,5,8.344664,3.1846654,1
Alkest SP 020,1.612783857,12,20,-3.5961397,-10.130444,2
Alkest TW 020,1.851258349,0,12,8.39242,-1.5171607,1
Alkest TW 060,1.908485019,0,10,8.39415,-1.5279286,1
Alkest TW 080,2.08278537,1,9,8.335974,-1.7444125,1
Alkest TW 327,2.82672252,6,3,8.966667,1.7395363,1
Alkest TW 85,2.178976947,7,14,7.545953,4.674021,1
Alkomol L 306,0.0,23,8,-2.3906908,-3.3081062,3
Alkomol L 408,1.322219295,23,4,-2.2757943,-3.3688638,3
Alkomol L 504,1.322219295,21,7,-2.6540933,-3.143366,3
Alkomol L 603,1.322219295,20,9,-2.6428454,-3.1418064,3
Alkonat C 200,1.041392685,4,19,6.660018,11.216131,4
Alkonat CE 200,1.041392685,4,17,6.6738763,11.255432,4
Alkonat CE 250 F,1.322219295,0,16,6.6589003,11.2201605,4
Alkonat CE 500,1.612783857,0,3,8.03783,3.9292994,1
Alkonat E 200 F,1.322219295,5,16,6.661611,11.2532215,4
Alkonat L 040,1.041392685,20,13,-3.7900167,-2.4091804,3
Alkonat L 050,1.322219295,21,14,-3.6474178,-2.4986286,3
Alkonat L 060,1.491361694,22,15,-3.8774772,-2.3421893,3
Alkonat L 070,1.612783857,23,17,-7.3983374,0.33955812,3
Alkonat L 080,1.612783857,23,20,-7.628872,0.6451341,3
Alkonat L 090,1.612783857,23,22,-8.486549,1.8280178,3
Alkonat L 100,1.612783857,23,23,-9.2494135,2.877174,3
Alkonat L 120,1.785329835,23,25,-9.665902,3.441174,3
Alkonat L 230,2.580924976,2,14,6.644914,11.063515,4
Alkonat L 400,2.756636108,0,6,7.8931684,4.168456,1
Alkonat OA 20,1.041392685,1,18,6.6694617,11.242742,4
Alkopon CN,2.968949681,18,27,-15.245947,-10.141519,0
Alkopon N ,3.196176185,20,27,-15.235941,-10.144312,0
Alkopon NNP 940,2.492760389,13,27,-14.951722,-10.159408,0
Alkopon NNP 940 HS,2.56937391,13,27,-14.9579935,-10.161835,0
Alkopon NS,3.272073788,20,27,-15.233993,-10.141592,0
Alkosynt 130,1.612783857,16,17,-3.6270142,-10.064896,2
Alkosynt 2590,1.707570176,23,17,-7.2815504,0.21396627,3
Alkosynt 9160,2.399673721,19,16,-5.273661,-1.3848863,3
Alkosynt 9180,2.764176132,19,19,-5.6615157,-1.063322,3
Alkosynt ID 030,2.663700925,18,14,-4.241445,-2.1024928,3
Alkosynt ID 060,2.903632516,19,17,-5.400478,-1.2917069,3
Alkosynt IT 0070,1.785329835,21,19,-6.6007967,-0.23873739,3
Alkosynt IT 0090,1.959041392,21,22,-8.94229,2.4742162,3
Alkosynt IT 0100,2.004321374,21,23,-9.259029,2.8950894,3
Alkosynt IT 0150,2.344392274,23,27,-9.753084,3.5576227,3
Alkosynt IT 050,1.491361694,21,12,-3.6640882,-2.4872463,3
Alkosynt IT 060,1.707570176,21,17,-6.114029,-0.6866973,3
Alkosynt IT 080,1.851258349,21,20,-8.381878,1.7718287,3
Alkosynt IT 120,2.206825876,22,25,-9.740226,3.5379252,3
Alkosynt S 150,2.23299611,4,19,6.6655498,11.211839,4
Alkosynt S 200,2.463892989,0,15,6.6661735,11.181172,4
Coco Amidoamine 3 EO,2.117271296,10,23,7.7774034,-3.9084642,1
Oximulsion 9900,0.0,17,21,-3.5765274,-10.820675,2
Softanol 120,1.908485019,23,24,-9.595661,3.3487868,3
Softanol 150,2.303196057,23,27,-9.901803,3.7597058,3
Softanol 90,1.851258349,23,20,-7.6776166,0.70609003,3
Surfom 1322 SC,1.491361694,23,0,-14.364082,-10.196953,0
Surfom 1325 SC,1.322219295,7,10,-14.017112,-10.215855,0
Surfom SC 8155,2.982723388,13,23,-3.5732749,-10.883093,2
Surfom SC 8213,1.041392685,13,17,7.8567905,-3.7687333,1
Surfom SC 8216,2.004321374,16,26,-15.237185,-10.139374,0
Surfom SC 8243,2.416640507,15,22,-3.5702899,-10.956512,2
Surfom SC 8384,1.851258349,10,11,-13.835084,-10.226203,0
Surfom SC 8898,2.08278537,15,22,-3.573576,-10.951146,2
Surfonic  POA-62,4.527642788,15,0,8.11953,3.8246605,1
Surfonic DOS 75 PG,3.305566314,18,24,-3.5752416,-10.923283,2
Surfonic DOS-70E,3.29907126,18,24,-3.5682437,-11.056622,2
Surfonic L24-6.8 NRE U,1.491361694,23,11,-3.275024,-2.736826,3
Surfonic L24-9 NRE,1.491361694,23,19,-7.500777,0.34758997,3
Surfonic POA-L61,3.529045171,15,3,7.6137915,4.7034235,1
Termul 203,0.0,7,0,8.974446,1.5029922,1
Termul 5500,0.0,12,2,8.871497,1.9117503,1
Tersperse 2500,1.491361694,9,17,8.60968,-0.12998655,1
Tersperse 2612,1.707570176,19,1,9.041485,1.5143096,1
"Tricyclodecanedimethanol 6,5EO",4.13261185,16,19,-3.5880935,-10.4990425,2
