BMU_X,BMU_Y,PacMAP_Cluster,Name,Target
19,0,0,"2,4-dihydroxybenzophenone 6,1EO",2.56937391
19,20,1,Alcohol C12-C14 31EO,2.7084209
25,16,1,Alcohol C12-C14 51EO,2.96425963
26,12,1,Alkest SBO 450,2.178976947
29,14,1,Alkest SBO 550,2.257678575
0,0,2,Alkest SP 020,1.612783857
24,7,1,Alkest TW 020,1.851258349
23,10,1,Alkest TW 060,1.908485019
26,9,1,Alkest TW 080,2.08278537
25,23,1,Alkest TW 327,2.82672252
29,10,1,Alkest TW 85,2.178976947
10,4,3,Alkomol L 306,0.0
11,8,3,Alkomol L 408,1.322219295
9,6,3,Alkomol L 504,1.322219295
9,8,3,Alkomol L 603,1.322219295
13,21,4,Alkonat C 200,1.041392685
11,23,4,Alkonat CE 200,1.041392685
16,21,4,Alkonat CE 250 F,1.322219295
27,15,1,Alkonat CE 500,1.612783857
13,23,4,Alkonat E 200 F,1.322219295
6,3,3,Alkonat L 040,1.041392685
6,5,3,Alkonat L 050,1.322219295
5,7,3,Alkonat L 060,1.491361694
6,10,3,Alkonat L 070,1.612783857
7,12,3,Alkonat L 080,1.612783857
9,13,3,Alkonat L 090,1.612783857
10,14,3,Alkonat L 100,1.612783857
12,16,3,Alkonat L 120,1.785329835
16,17,4,Alkonat L 230,2.580924976
23,14,1,Alkonat L 400,2.756636108
16,23,4,Alkonat OA 20,1.041392685
0,21,0,Alkopon CN,2.968949681
0,18,0,Alkopon N ,3.196176185
1,15,0,Alkopon NNP 940,2.492760389
1,15,0,Alkopon NNP 940 HS,2.56937391
0,18,0,Alkopon NS,3.272073788
2,3,2,Alkosynt 130,1.612783857
6,10,3,Alkosynt 2590,1.707570176
2,6,3,Alkosynt 9160,2.399673721
1,9,3,Alkosynt 9180,2.764176132
4,4,3,Alkosynt ID 030,2.663700925
0,7,3,Alkosynt ID 060,2.903632516
4,12,3,Alkosynt IT 0070,1.785329835
6,16,3,Alkosynt IT 0090,1.959041392
8,16,3,Alkosynt IT 0100,2.004321374
11,19,3,Alkosynt IT 0150,2.344392274
7,4,3,Alkosynt IT 050,1.491361694
3,9,3,Alkosynt IT 060,1.707570176
5,14,3,Alkosynt IT 080,1.851258349
10,17,3,Alkosynt IT 120,2.206825876
13,21,4,Alkosynt S 150,2.23299611
16,20,4,Alkosynt S 200,2.463892989
3,0,1,Coco Amidoamine 3 EO,2.117271296
4,19,2,Oximulsion 9900,0.0
11,15,3,Softanol 120,1.908485019
13,18,3,Softanol 150,2.303196057
7,12,3,Softanol 90,1.851258349
25,3,0,Surfom 1322 SC,1.491361694
25,0,0,Surfom 1325 SC,1.322219295
6,23,2,Surfom SC 8155,2.982723388
6,0,1,Surfom SC 8213,1.041392685
0,12,0,Surfom SC 8216,2.004321374
8,21,2,Surfom SC 8243,2.416640507
22,0,0,Surfom SC 8384,1.851258349
8,21,2,Surfom SC 8898,2.08278537
22,21,1,Surfonic  POA-62,4.527642788
3,23,2,Surfonic DOS 75 PG,3.305566314
3,23,2,Surfonic DOS-70E,3.29907126
7,7,3,Surfonic L24-6.8 NRE U,1.491361694
9,10,3,Surfonic L24-9 NRE,1.491361694
20,23,1,Surfonic POA-L61,3.529045171
29,23,1,Termul 203,0.0
29,18,1,Termul 5500,0.0
29,5,1,Tersperse 2500,1.491361694
29,0,1,Tersperse 2612,1.707570176
0,3,2,"Tricyclodecanedimethanol 6,5EO",4.13261185
6,10,3,Ultrader DGW 710,1.322219295
16,9,1,Ultramina 200,1.707570176
20,8,1,Ultramina CO 150,1.959041392
14,8,1,Ultramina TA 0100,1.612783857
10,0,1,Ultramina TA 050,1.322219295
9,1,1,Ultramina TA 080,1.041392685
16,9,1,Ultramina TA 120,1.041392685
18,11,1,Ultramina TA 150,1.491361694
20,12,1,Ultramina TA 200,1.908485019
13,0,1,Ultranex NP 0040,1.041392685
14,4,1,Ultranex NP 0060,1.322219295
17,5,1,Ultranex NP 0080,1.491361694
14,4,1,Ultranex NP 0095,1.612783857
14,4,1,Ultranex NP 0100,1.707570176
17,5,1,Ultranex NP 0110,1.785329835
19,4,1,Ultranex NP 0120,1.785329835
21,5,1,Ultranex NP 0150,2.004321374
14,12,1,Ultranex NP 0200,2.303196057
16,14,1,Ultranex NP 0230,2.673020907
19,16,1,Ultranex NP 0300,2.7930916
19,16,1,Ultranex NP 0300 S,2.545307116
22,17,1,Ultranex NP 0400,2.881384657
25,19,1,Ultranex NP 1000,2.506505032
19,16,1,Ultranex NP 300 W30 PH,2.716837723
14,4,1,Ultranex NP 85 NR,1.491361694
16,0,0,Ultranex TSP 160,1.041392685
2,6,3,Ultranol 1001,2.96425963
27,21,1,Ultraric 5000 HM (lote Mau�),0.0
